[DEBUG] [2021-07-07 18:35:06] AbstractApplicationContext.prepareRefresh(590) | Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@4361bd48
[DEBUG] [2021-07-07 18:35:07] XmlBeanDefinitionReader.doLoadBeanDefinitions(395) | Loaded 3 bean definitions from class path resource [applicationContext.xml]
[DEBUG] [2021-07-07 18:35:07] DefaultSingletonBeanRegistry.getSingleton(213) | Creating shared instance of singleton bean 'defaultConfigProperty'
[DEBUG] [2021-07-07 18:35:07] DefaultSingletonBeanRegistry.getSingleton(213) | Creating shared instance of singleton bean 'defaultConfigOption'
[DEBUG] [2021-07-07 18:35:07] CryptoMaterialConfig.<init>(77) | Load cryptoMaterial, caCertPath: /home/fisco/IdeaProjects/item-trace-app/target/resources/main/conf/ca.crt, sdkCertPath: /home/fisco/IdeaProjects/item-trace-app/target/resources/main/conf/sdk.crt, sdkPrivateKeyPath:/home/fisco/IdeaProjects/item-trace-app/target/resources/main/conf/sdk.key, enSSLCertPath: null, enSSLPrivateKeyPath:null
[DEBUG] [2021-07-07 18:35:07] InternalLoggerFactory.newDefaultFactory(43) | Using SLF4J as the default logging framework
[DEBUG] [2021-07-07 18:35:07] NetUtil.<clinit>(139) | -Djava.net.preferIPv4Stack: {}
[DEBUG] [2021-07-07 18:35:07] NetUtil.<clinit>(140) | -Djava.net.preferIPv6Addresses: {}
[DEBUG] [2021-07-07 18:35:07] NetUtil.<clinit>(224) | Loopback interface: {} ({}, {})
[DEBUG] [2021-07-07 18:35:07] PlatformDependent0.explicitNoUnsafeCause0(395) | -Dio.netty.noUnsafe: {}
[DEBUG] [2021-07-07 18:35:07] PlatformDependent0.javaVersion0(871) | Java version: {}
[DEBUG] [2021-07-07 18:35:07] PlatformDependent0.<clinit>(120) | sun.misc.Unsafe.theUnsafe: available
[DEBUG] [2021-07-07 18:35:07] PlatformDependent0.<clinit>(144) | sun.misc.Unsafe.copyMemory: available
[DEBUG] [2021-07-07 18:35:07] PlatformDependent0.<clinit>(182) | java.nio.Buffer.address: available
[DEBUG] [2021-07-07 18:35:07] PlatformDependent0.<clinit>(243) | direct buffer constructor: available
[DEBUG] [2021-07-07 18:35:07] PlatformDependent0.<clinit>(313) | java.nio.Bits.unaligned: available, {}
[DEBUG] [2021-07-07 18:35:07] PlatformDependent0.<clinit>(378) | jdk.internal.misc.Unsafe.allocateUninitializedArray(int): unavailable prior to Java9
[DEBUG] [2021-07-07 18:35:07] PlatformDependent0.<clinit>(385) | java.nio.DirectByteBuffer.<init>(long, int): {}
[DEBUG] [2021-07-07 18:35:07] PlatformDependent.unsafeUnavailabilityCause0(996) | sun.misc.Unsafe: {}
[DEBUG] [2021-07-07 18:35:07] PlatformDependent.tmpdir0(1090) | -Dio.netty.tmpdir: {} (java.io.tmpdir)
[DEBUG] [2021-07-07 18:35:07] PlatformDependent.bitMode0(1169) | -Dio.netty.bitMode: {} (sun.arch.data.model)
[DEBUG] [2021-07-07 18:35:07] PlatformDependent.<clinit>(158) | -Dio.netty.maxDirectMemory: {} bytes
[DEBUG] [2021-07-07 18:35:07] PlatformDependent.<clinit>(164) | -Dio.netty.uninitializedArrayAllocationThreshold: {}
[DEBUG] [2021-07-07 18:35:07] CleanerJava6.<clinit>(92) | java.nio.ByteBuffer.cleaner(): available
[DEBUG] [2021-07-07 18:35:07] PlatformDependent.<clinit>(184) | -Dio.netty.noPreferDirect: {}
[DEBUG] [2021-07-07 18:35:07] NetUtil$1.run(271) | {}: {}
[DEBUG] [2021-07-07 18:35:07] ThreadPoolConfig.<init>(54) | Init ThreadPoolConfig, channelProcessorThreadSize: 16, receiptProcessorThreadSize: 16, maxBlockingQueueSize: 102400
[DEBUG] [2021-07-07 18:35:07] DefaultSingletonBeanRegistry.getSingleton(213) | Creating shared instance of singleton bean 'bcosSDK'
[DEBUG] [2021-07-07 18:35:07] ResourceLeakDetector.<clinit>(121) | -D{}: {}
[DEBUG] [2021-07-07 18:35:07] ResourceLeakDetector.<clinit>(122) | -D{}: {}
[DEBUG] [2021-07-07 18:35:07] ResourceLeakDetectorFactory$DefaultResourceLeakDetectorFactory.newResourceLeakDetector(202) | Loaded default ResourceLeakDetector: {}
[DEBUG] [2021-07-07 18:35:07] PlatformDependent$Mpsc.<clinit>(864) | org.jctools-core.MpscChunkedArrayQueue: available
[DEBUG] [2021-07-07 18:35:08] InternalThreadLocalMap.<clinit>(54) | -Dio.netty.threadLocalMap.stringBuilder.initialSize: {}
[DEBUG] [2021-07-07 18:35:08] InternalThreadLocalMap.<clinit>(57) | -Dio.netty.threadLocalMap.stringBuilder.maxSize: {}
[INFO] [2021-07-07 18:35:08] ConnectionManager.<init>(90) |  all connections, size: 2, list: [ConnectionInfo{host='127.0.0.1', port=20200}, ConnectionInfo{host='127.0.0.1', port=20201}]
[DEBUG] [2021-07-07 18:35:08] NetworkImp.start(159) | start connManager with ECDSA sslContext
