[DEBUG] [2021-07-02 09:00:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f3d64b286f7e4b8893d9e1deec511703, msgType : 19
[DEBUG] [2021-07-02 09:00:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 47d7b7bd70a84255a7f814601b773435, msgType : 19
[DEBUG] [2021-07-02 09:00:00] LogFormatUtils.traceDebug(91) | POST "/v1/usr/signup?user_id=port&password=123&user_type=1&portname=GuangZhou%20Port", parameters={masked}
[DEBUG] [2021-07-02 09:00:00] AbstractHandlerMapping.getHandler(522) | Mapped to com.example.demo.controller.UserController#signup(String, String, int, String)
[INFO] [2021-07-02 09:00:00] ContractClient.loadContractAddr(73) |  load contract address from contract.properties, address is 0x33e7776a7776d4fef39c3f57a7505e2f3c798005
[DEBUG] [2021-07-02 09:00:00] TransactionProcessorFactory.getChainIdAndGroupId(35) | getNodeVersion before createTransactionManager, binaryVerison: 2.7.2, supportedVersion:2.7.2
[DEBUG] [2021-07-02 09:00:00] TransactionProcessorFactory.getChainIdAndGroupId(49) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2021-07-02 09:00:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 6a6ec8b608d942e79cbea9c2c885be33, msgType : 18
[DEBUG] [2021-07-02 09:00:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-07-02 09:00:01] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-02 09:00:01] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 184, groupId: 1
[DEBUG] [2021-07-02 09:00:01] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 184, nodeWithLatestBlockNumber:[127.0.0.1:20200]
[DEBUG] [2021-07-02 09:00:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-07-02 09:00:01] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-02 09:00:01] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 184, groupId: 1
[DEBUG] [2021-07-02 09:00:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 6a6ec8b608d942e79cbea9c2c885be33, msgType : 4096
[DEBUG] [2021-07-02 09:00:01] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-02 09:00:01] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 184, nodeWithLatestBlockNumber:[127.0.0.1:20200, 127.0.0.1:20201]
[DEBUG] [2021-07-02 09:00:01] AbstractMessageConverterMethodProcessor.writeWithMessageConverters(268) | Using 'application/json', given [*/*] and supported [application/json, application/*+json, application/json, application/*+json]
[DEBUG] [2021-07-02 09:00:01] LogFormatUtils.traceDebug(91) | Writing [com.example.demo.pojo.Result@65eb7d05]
[DEBUG] [2021-07-02 09:00:01] FrameworkServlet.logResult(1131) | Completed 200 OK
[DEBUG] [2021-07-02 09:00:02] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : af0f19fe2733402e96c7736ba90bafb9, msgType : 19
[DEBUG] [2021-07-02 09:00:02] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 499e40be6e57410fa3aa501b389a6ffd, msgType : 19
[DEBUG] [2021-07-02 09:00:04] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 1ac9192af7ad46f6a3522fcdfe8dfd51, msgType : 19
[DEBUG] [2021-07-02 09:00:04] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 6154bf2d7dfb420db7a2394cc40f05ec, msgType : 19
[DEBUG] [2021-07-02 09:00:05] ApplicationAvailabilityBean.onApplicationEvent(77) | Application availability state ReadinessState changed from ACCEPTING_TRAFFIC to REFUSING_TRAFFIC
[DEBUG] [2021-07-02 09:00:05] AbstractApplicationContext.doClose(1049) | Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@5f9b2141, started on Thu Jul 01 20:54:00 CST 2021
[DEBUG] [2021-07-02 09:00:05] DefaultLifecycleProcessor$LifecycleGroup.stop(365) | Stopping beans in phase 2147483647
[DEBUG] [2021-07-02 09:00:05] DefaultLifecycleProcessor.lambda$doStop$3(238) | Bean 'webServerGracefulShutdown' completed its stop procedure
[DEBUG] [2021-07-02 09:00:05] DefaultLifecycleProcessor$LifecycleGroup.stop(365) | Stopping beans in phase 2147483646
[DEBUG] [2021-07-02 09:00:05] DefaultLifecycleProcessor.lambda$doStop$3(238) | Bean 'webServerStartStop' completed its stop procedure
[DEBUG] [2021-07-02 09:00:05] ExecutorConfigurationSupport.shutdown(218) | Shutting down ExecutorService 'applicationTaskExecutor'
[DEBUG] [2021-07-02 09:00:07] AbstractEnvironment.setActiveProfiles(296) | Activating profiles []
[INFO] [2021-07-02 09:00:07] StartupInfoLogger.logStarting(55) | Starting DemoApplication using Java 11.0.11 on fisco-VirtualBox with PID 36785 (/home/fisco/IdeaProjects/fisco-app/build/classes/java/main started by fisco in /home/fisco/IdeaProjects/fisco-app)
[DEBUG] [2021-07-02 09:00:07] StartupInfoLogger.logStarting(56) | Running with Spring Boot v2.5.1, Spring v5.3.8
[INFO] [2021-07-02 09:00:07] SpringApplication.logStartupProfileInfo(659) | No active profile set, falling back to default profiles: default
[DEBUG] [2021-07-02 09:00:07] SpringApplication.load(687) | Loading source class com.example.demo.DemoApplication
[DEBUG] [2021-07-02 09:00:07] AbstractApplicationContext.prepareRefresh(629) | Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@5f9b2141
[DEBUG] [2021-07-02 09:00:07] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
[DEBUG] [2021-07-02 09:00:07] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
[DEBUG] [2021-07-02 09:00:07] ClassPathScanningCandidateComponentProvider.scanCandidateComponents(435) | Identified candidate component class: file [/home/fisco/IdeaProjects/fisco-app/build/classes/java/main/com/example/demo/ApplicationContextUtil.class]
[DEBUG] [2021-07-02 09:00:07] ClassPathScanningCandidateComponentProvider.scanCandidateComponents(435) | Identified candidate component class: file [/home/fisco/IdeaProjects/fisco-app/build/classes/java/main/com/example/demo/client/ContractClient.class]
[DEBUG] [2021-07-02 09:00:07] ClassPathScanningCandidateComponentProvider.scanCandidateComponents(435) | Identified candidate component class: file [/home/fisco/IdeaProjects/fisco-app/build/classes/java/main/com/example/demo/controller/ChainController.class]
[DEBUG] [2021-07-02 09:00:07] ClassPathScanningCandidateComponentProvider.scanCandidateComponents(435) | Identified candidate component class: file [/home/fisco/IdeaProjects/fisco-app/build/classes/java/main/com/example/demo/controller/QueryController.class]
[DEBUG] [2021-07-02 09:00:07] ClassPathScanningCandidateComponentProvider.scanCandidateComponents(435) | Identified candidate component class: file [/home/fisco/IdeaProjects/fisco-app/build/classes/java/main/com/example/demo/controller/UserController.class]
[DEBUG] [2021-07-02 09:00:07] ClassPathScanningCandidateComponentProvider.scanCandidateComponents(435) | Identified candidate component class: file [/home/fisco/IdeaProjects/fisco-app/build/classes/java/main/com/example/demo/service/impl/ChainServiceImpl.class]
[DEBUG] [2021-07-02 09:00:07] ClassPathScanningCandidateComponentProvider.scanCandidateComponents(435) | Identified candidate component class: file [/home/fisco/IdeaProjects/fisco-app/build/classes/java/main/com/example/demo/service/impl/QueryServiceImpl.class]
[DEBUG] [2021-07-02 09:00:07] ClassPathScanningCandidateComponentProvider.scanCandidateComponents(435) | Identified candidate component class: file [/home/fisco/IdeaProjects/fisco-app/build/classes/java/main/com/example/demo/service/impl/UserServiceImpl.class]
[DEBUG] [2021-07-02 09:00:08] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
[DEBUG] [2021-07-02 09:00:08] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor'
[DEBUG] [2021-07-02 09:00:08] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'preserveErrorControllerTargetClassPostProcessor'
[DEBUG] [2021-07-02 09:00:08] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'forceAutoProxyCreatorToUseClassProxying'
[DEBUG] [2021-07-02 09:00:08] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.sql.init.dependency.DatabaseInitializationDependencyConfigurer$DependsOnDatabaseInitializationPostProcessor'
[DEBUG] [2021-07-02 09:00:08] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
[DEBUG] [2021-07-02 09:00:08] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
[DEBUG] [2021-07-02 09:00:08] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
[DEBUG] [2021-07-02 09:00:08] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor'
[DEBUG] [2021-07-02 09:00:08] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.context.internalConfigurationPropertiesBinder'
[DEBUG] [2021-07-02 09:00:08] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.context.internalConfigurationPropertiesBinderFactory'
[DEBUG] [2021-07-02 09:00:08] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.aop.config.internalAutoProxyCreator'
[DEBUG] [2021-07-02 09:00:08] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'webServerFactoryCustomizerBeanPostProcessor'
[DEBUG] [2021-07-02 09:00:08] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'errorPageRegistrarBeanPostProcessor'
[DEBUG] [2021-07-02 09:00:08] UiApplicationContextUtils.initThemeSource(85) | Unable to locate ThemeSource with name 'themeSource': using default [org.springframework.ui.context.support.ResourceBundleThemeSource@3c291aad]
[DEBUG] [2021-07-02 09:00:08] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'tomcatServletWebServerFactory'
[DEBUG] [2021-07-02 09:00:08] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.ServletWebServerFactoryConfiguration$EmbeddedTomcat'
[DEBUG] [2021-07-02 09:00:08] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'websocketServletWebServerCustomizer'
[DEBUG] [2021-07-02 09:00:08] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.websocket.servlet.WebSocketServletAutoConfiguration$TomcatWebSocketConfiguration'
[DEBUG] [2021-07-02 09:00:08] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'servletWebServerFactoryCustomizer'
[DEBUG] [2021-07-02 09:00:08] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.ServletWebServerFactoryAutoConfiguration'
[DEBUG] [2021-07-02 09:00:08] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
[DEBUG] [2021-07-02 09:00:08] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.context.properties.BoundConfigurationProperties'
[DEBUG] [2021-07-02 09:00:08] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'servletWebServerFactoryCustomizer' via factory method to bean named 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
[DEBUG] [2021-07-02 09:00:08] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'tomcatServletWebServerFactoryCustomizer'
[DEBUG] [2021-07-02 09:00:08] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'tomcatServletWebServerFactoryCustomizer' via factory method to bean named 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
[DEBUG] [2021-07-02 09:00:08] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'tomcatWebServerFactoryCustomizer'
[DEBUG] [2021-07-02 09:00:08] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.embedded.EmbeddedWebServerFactoryCustomizerAutoConfiguration$TomcatWebServerFactoryCustomizerConfiguration'
[DEBUG] [2021-07-02 09:00:08] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'tomcatWebServerFactoryCustomizer' via factory method to bean named 'environment'
[DEBUG] [2021-07-02 09:00:08] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'tomcatWebServerFactoryCustomizer' via factory method to bean named 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
[DEBUG] [2021-07-02 09:00:08] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'localeCharsetMappingsCustomizer'
[DEBUG] [2021-07-02 09:00:08] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.HttpEncodingAutoConfiguration'
[DEBUG] [2021-07-02 09:00:08] ConstructorResolver.createArgumentArray(808) | Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.HttpEncodingAutoConfiguration' via constructor to bean named 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
[DEBUG] [2021-07-02 09:00:08] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'errorPageCustomizer'
[DEBUG] [2021-07-02 09:00:08] DefaultSingletonBeanRegistry.getSingleton(225) | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration'
